Source,Target,weight
0,218,0.3303183071819504
0,1111,0.31955601548578827
1,617,0.25764040419619577
1,1259,0.21758128196730825
1,1371,0.31666184556570537
2,35,0.24458535151018596
2,86,0.279213105885594
2,159,0.20054087754190722
2,225,0.21387158639912784
2,336,0.228962350107036
2,649,0.20780562521983806
3,299,0.40668109038449357
3,1023,0.2668514025713186
3,1068,0.21268105223573675
4,47,0.21363649046477282
4,363,0.19959935386234423
4,410,0.37914782643269807
4,439,0.2680131672305099
5,80,0.2620075841658947
5,81,0.2988519935480339
5,155,0.35683435304570565
6,715,0.22687440317177593
6,845,0.18233722997069968
6,1381,0.17921747871017774
6,1477,0.18330753110190007
7,18,0.23417291961393025
7,697,0.19599737735428588
7,725,0.20163556168898214
7,1044,0.21136793836025214
8,237,0.37247555957783546
8,667,0.23495913465582322
8,680,0.2764494223469547
8,1096,0.39488662744511827
8,1098,0.22662910393994562
9,343,0.19743803966793766
9,488,0.23411002203242834
10,608,0.23203744856041778
10,715,0.20384072394525823
10,1566,0.19823658713309625
11,115,0.32741110008233354
11,1358,0.2124257755818489
12,781,0.21579497835254
12,1174,0.22587475988504419
12,1263,0.262125096533774
13,244,0.39564876659036147
13,661,0.2681227703111019
13,748,0.4372274143265879
13,928,0.2998884554002077
14,1447,0.34158091511678523
15,47,0.3050150005222865
15,194,0.20772178235410266
15,204,0.22551546927763047
15,224,0.2574755160565893
15,923,0.23350217272786644
15,1259,0.2372834578007587
16,38,0.30492948323125146
16,240,0.2581368934578881
16,447,0.33695454127657665
16,484,0.32136805527186446
16,585,0.30883462641488973
16,591,0.3186562412997343
16,596,0.40085243662795145
16,667,0.32146595733868816
17,926,0.2873104064812909
17,1479,0.25638725872838464
17,1611,0.3317935721301359
17,1690,0.23200205533684282
17,1740,0.3620615335263757
17,1949,0.3458028704480686
18,81,0.28196653343267675
18,155,0.28411770331135605
18,503,0.35472709264282487
19,247,0.2849534555392719
20,484,0.23363106352429863
20,688,0.2702288112388421
20,706,0.23563776342731066
20,739,0.2376527474278428
20,1113,0.2984208265072784
21,33,0.24612714819149717
21,49,0.2437485998793811
21,50,0.260452426822653
21,64,0.3871955235229031
21,159,0.22818811581436169
21,174,0.23513891509721027
21,225,0.3146110886739201
21,497,0.24102206750173233
21,717,0.29898266260948725
21,1736,0.27133176059770886
22,1425,0.47923585836558047
22,1549,0.17604580370846343
23,81,0.2234745248971244
23,633,0.2654464220605455
23,903,0.2463840164348077
24,26,0.324235865522788
24,69,0.22445126266537224
24,88,0.27679652783558295
24,95,0.23832467586100037
24,140,0.23122937684813627
24,638,0.24457521775508037
24,1463,0.28415374101596425
25,181,0.3259826911218409
25,466,0.2378283434048689
25,493,0.23219124419650863
25,664,0.2125367888813805
25,938,0.32242104672112426
25,1062,0.3331948068433224
25,1270,0.24477503735903788
25,1316,0.230988137606228
25,1510,0.2749547464820624
25,1875,0.2405790906933533
26,24,0.324235865522788
26,87,0.30356056424657424
26,88,0.33400634795865264
27,245,0.24443007216608634
27,1822,0.20631031981415074
28,354,0.20196143459761856
28,432,0.2059735677910141
29,58,0.25018700643843667
29,338,0.3039632959062786
29,450,0.3086908657375036
29,765,0.23585997023248645
29,1113,0.23154011475001754
29,1730,0.22905754607687845
30,515,0.2028790994043735
30,864,0.2532623492388503
31,86,0.2251717676098538
31,755,0.3089119975083044
31,998,0.23262802321943113
32,234,0.26833170014417446
32,1051,0.23008655993780516
33,21,0.24612714819149714
33,159,0.3746293760138962
33,492,0.23583502915292318
33,1208,0.2825367509232694
33,1684,0.2933660965842896
34,468,0.31148405458374345
34,1793,0.2303181166851883
35,2,0.24458535151018598
35,84,0.22290050926867175
35,1373,0.360561884758197
35,1610,0.2768732364782165
36,84,0.2801334208557621
36,86,0.31890431890421156
36,95,0.330620291301717
36,352,0.2881299089947342
36,533,0.2698572727909171
37,240,0.24085658292246812
37,413,0.25334567103231115
37,489,0.23651902284587448
37,518,0.22107953308104814
37,561,0.26635069496009917
37,591,0.3056045682167052
38,16,0.30492948323125146
38,231,0.22803270031124523
38,240,0.30547112587748854
38,447,0.22708390464192799
38,585,0.29351623774876984
39,1359,0.25510967214891783
40,92,0.21697303205217794
40,251,0.1961701817381507
41,94,0.43176366497896074
41,179,0.28782201071566205
42,1280,0.266070647745643
42,1422,0.29311714891588375
43,373,0.24360335290725618
43,913,0.23516806552863911
43,1347,0.24796346731887195
44,50,0.2405909306181445
44,86,0.24069549123852002
44,156,0.24482582947045578
44,159,0.24099039247853243
44,225,0.268903591701204
44,298,0.2630048663454187
44,321,0.3763386443303488
44,363,0.25707513773763624
44,439,0.2429652768756512
45,113,0.28250767256178094
46,55,0.2416574755171597
47,15,0.30501500052228653
47,310,0.25879566694429634
48,99,0.24427766995446756
48,372,0.26206406427670376
48,902,0.3323063219523208
48,1077,0.20581610814838233
48,1483,0.2192085545837945
48,1784,0.22615562585690974
49,21,0.2437485998793811
49,50,0.29343177460526815
49,104,0.26208823900747275
49,225,0.2912866525117406
49,529,0.25374848687214974
50,21,0.260452426822653
50,44,0.2405909306181445
50,49,0.29343177460526815
50,104,0.24324500308253866
50,225,0.30909935680658307
50,492,0.2604958355304586
50,529,0.31800919152803847
50,632,0.38053461083592527
51,164,0.4235679236263059
51,196,0.3043732464394798
51,217,0.5038676424895028
51,724,0.4918142139253025
51,744,0.48357567194583956
51,800,0.33296024629280757
51,900,0.39904304368504107
52,728,0.27802926943329925
52,742,0.27802926943329925
53,178,0.31667503952651904
53,210,0.36840462065939483
54,123,0.4182452714925464
54,1161,0.23300348389844147
55,57,0.3209666562235991
56,449,0.3718927938741512
56,1214,0.22419578440043406
57,98,0.45713552369393845
57,290,0.3567530046093759
58,29,0.25018700643843667
58,441,0.1932255635252359
58,1003,0.19285735781970179
59,865,0.26739738708240146
59,1020,0.38107063591985024
59,1091,0.3380679233793196
59,1233,0.43135455416878543
60,514,0.24188208986704265
60,1902,0.21858311788461154
61,153,0.2412918024190814
61,1695,0.19586881874789278
62,169,0.2927225424235678
62,256,0.38717018787013785
62,486,0.39287615695743966
62,1036,0.2915210265529597
62,1164,0.27893378875863173
62,1534,0.28658163806256803
63,1401,0.3089506440622188
63,1790,0.2611924563925977
64,21,0.3871955235229031
64,156,0.1922147957228209
64,225,0.2127598491588516
64,543,0.19665551157445613
64,768,0.19739009058556747
65,360,0.2634374192653859
65,653,0.2549074243699015
65,1951,0.21520178274246626
66,461,0.49454805152759657
66,1115,0.24184442513842905
66,1676,0.3725804305192278
67,212,0.3856151894113182
67,533,0.23507013031590496
68,224,0.2392042679960348
68,1517,0.20860166846129918
69,24,0.22445126266537227
69,78,0.22685965663355526
69,88,0.25466026886400117
69,140,0.21679482358630256
69,151,0.218554846476522
69,330,0.2985765963177045
70,233,0.17577318245288912
70,569,0.23828738240807587
71,172,0.6572780324549207
71,848,0.5606271606839891
71,1277,0.4071280732819928
72,76,0.2234788517329873
72,402,0.20754227610561118
73,615,0.20936781529743545
73,842,0.2701907315618426
73,1016,0.23129744823252066
73,1125,0.22052757518111357
73,1332,0.22677656540043464
73,1836,0.24212826930100437
74,602,0.4245173380960625
75,109,0.2149590450399058
75,189,0.24273752618704952
76,175,0.315722887917834
76,901,0.25519671561249674
76,1113,0.3057888166256098
77,1943,0.2243029255209604
78,69,0.2268596566335552
78,137,0.2573392976483149
78,140,0.24905812893912033
78,248,0.2806182565097375
78,336,0.24855135804601533
78,725,0.2273632023325761
79,1750,0.24940326207356553
80,81,0.4731480894117762
80,887,0.2860097311897709
81,80,0.47314808941177616
81,155,0.32570995263492675
82,13,0.2646288500523732
82,109,0.22886309402099766
82,233,0.22672340114149678
82,289,0.389661816648014
82,423,0.26198317487776607
82,784,0.2536006073519366
82,785,0.23007166026728354
82,790,0.22395254835588937
82,794,0.2469174351349774
82,820,0.22933641783113387
82,940,0.22509173863949503
82,1119,0.22935454182204576
82,1805,0.3057164384807524
83,88,0.2817511919330531
83,635,0.24279509159084126
84,26,0.2631657364784549
84,36,0.2801334208557621
84,95,0.3425832698347891
84,174,0.2894187820767262
84,1808,0.24887195995800812
85,238,0.5975869817794572
85,270,0.19804131534969233
85,721,0.3981832234037219
85,737,0.3140486908931768
86,2,0.279213105885594
86,36,0.3189043189042115
86,168,0.29019156505071536
86,243,0.25983079448237645
86,321,0.2695739629638225
86,1224,0.294105104585015
86,1361,0.25640288153722746
86,1476,0.26463301315829535
87,26,0.30356056424657424
87,96,0.2453607113947458
87,321,0.2482725254408022
87,1237,0.2930658463678669
88,24,0.276796527835583
88,26,0.33400634795865264
88,69,0.2546602688640011
88,83,0.2817511919330531
88,95,0.33207523305738007
88,151,0.2505515079332354
88,1067,0.2637936787614398
88,1491,0.26668392087528375
89,144,0.42226098295821957
89,331,0.4105583435219384
89,439,0.4718799739936488
90,826,0.21868172423935933
91,242,0.27176221173541226
91,447,0.29885861325644275
91,504,0.3049491130666275
91,1043,0.2354685916195154
92,192,0.21746711654858628
92,367,0.25966760540423023
92,828,0.24790477403576333
92,869,0.24720996317465824
92,900,0.2176685202583854
93,286,0.23831381490000694
93,308,0.2428119701821814
93,520,0.22193178418034903
93,682,0.2057674608300928
93,733,0.23360631468477575
93,792,0.20952333697018466
93,941,0.2005541306400952
93,970,0.19984749241450667
93,1416,0.23139858203202673
94,41,0.4317636649789608
94,567,0.22305702636026298
95,36,0.330620291301717
95,84,0.34258326983478915
95,88,0.33207523305738007
95,566,0.3123598743764087
96,87,0.24536071139474583
96,321,0.2021128677412821
96,431,0.2785162482179593
96,707,0.23786041839109467
96,1411,0.2357803950397176
97,103,0.21130088573485326
97,442,0.3736127909899326
98,57,0.45713552369393856
98,212,0.26405350550245543
98,378,0.28476154089661937
99,48,0.24427766995446756
99,372,0.2547635839042398
99,430,0.2789797749054274
99,902,0.3607920370559666
100,4,0.1902282100074288
101,412,0.23214278270681216
101,835,0.3118953559995141
101,1263,0.19907304334130277
101,1524,0.24147816497886937
102,1287,0.29954122690675017
102,1648,0.2794530178175587
103,436,0.4281248056418042
103,1025,0.27666492196178816
103,1947,0.24977152513253323
104,49,0.2620882390074727
104,50,0.24324500308253863
104,111,0.2595084451675921
104,248,0.26579728379667467
104,330,0.23701084586201307
104,645,0.2608953205031069
104,1007,0.2504549778942695
104,1237,0.39385980748231997
105,213,0.32082481776949623
105,1061,0.35383124070351024
106,882,0.24427855525299857
106,1453,0.24386412615881425
106,1714,0.22968499075187104
107,906,0.2926690414563574
108,466,0.29311273231120893
108,1059,0.24425050995179656
108,1239,0.20268014482676855
108,1468,0.22767097436995565
108,1481,0.22494693678297004
109,136,0.31891163613190215
109,273,0.26263016854564286
109,423,0.29204647880718887
109,614,0.2599711839490565
109,780,0.32297173193534656
109,1483,0.27981821415141844
110,830,0.2437363134947985
111,104,0.2595084451675921
111,330,0.33962157229916123
111,1115,0.256387437200884
112,159,0.19588392780624242
112,225,0.21853892094109864
112,298,0.24146594489536288
112,364,0.3218683951346965
113,45,0.28250767256178094
113,472,0.20252077756453016
113,473,0.22926555234678678
113,1449,0.22490818186530956
114,613,0.26222457510505104
115,11,0.32741110008233354
116,550,0.26966073442788574
116,1380,0.3845128838787848
117,353,0.19189396391123414
117,1313,0.435130395556022
118,1039,0.497224523101861
118,1047,0.22494849675118533
118,1304,0.22098438288077243
119,229,0.3234747034902051
119,397,0.275901440974587
119,404,0.2524963832092751
119,620,0.2989062711168405
119,639,0.2854649884061149
119,1755,0.3367832845877649
120,653,0.28814070350940557
120,1634,0.28172669594270616
121,370,0.2889373659638413
121,896,0.22249993905124527
121,1055,0.26846288972142396
122,1615,0.27073248283196366
123,54,0.4182452714925465
124,622,0.3818148270662402
124,894,0.3240628863673265
124,1307,0.33575603859910275
125,375,0.32854990750352847
125,600,0.3337194063483952
125,739,0.34357646875880854
126,157,0.21780811824912516
126,440,0.21611097816233252
126,1728,0.23841018485201487
127,1489,0.23182462483756217
128,260,0.3464253110703642
128,643,0.23089745548144489
128,918,0.3733654566717332
128,1338,0.36716620271974826
128,1345,0.3108643326315411
128,1707,0.22488262439098522
128,1916,0.28579671909180787
129,305,0.3273650262369948
129,472,0.21104187152816056
129,524,0.2114570844526235
129,547,0.23683622164558796
129,582,0.21780243527389398
129,948,0.2683288397252877
129,1505,0.23195442429411667
130,183,0.3473721022633468
131,178,0.1914278354063223
131,194,0.18095844427443103
131,1794,0.19778396043733648
132,484,0.20304974761895123
133,265,0.3469554286460712
133,1066,0.2564576306740191
133,1511,0.2460775657092117
134,468,0.19138394953068671
134,787,0.20799417947645818
134,1077,0.20945746903842552
134,1524,0.20049604126237852
134,1670,0.19495773363845154
135,246,0.4301746368315731
136,109,0.31891163613190215
136,273,0.28547483509656474
136,423,0.2869959879964039
136,614,0.3003659317202913
136,615,0.23847805032908578
136,692,0.24983383865979783
137,78,0.2573392976483149
137,759,0.26255613710928155
137,896,0.3079533399082536
137,1262,0.30632899945291087
138,224,0.16826153258039606
139,373,0.35743236721586646
139,429,0.2433369050430556
139,691,0.35257471167513005
139,709,0.23805123336314132
139,803,0.22247300310198928
139,899,0.2411653717723529
139,913,0.2189820913547133
139,987,0.22366741468348153
140,24,0.23122937684813627
140,78,0.24905812893912033
140,159,0.364448293211938
140,225,0.24168143390342345
